,probability,baseline-wer,wer,wer-improvement,wer-normalised,dataset_encoded,ops_del,ops_ins,ops_sub
0,1,0.1009819813470528,0.1464984612493245,-45.07386297545658,0.4508109187660103,2,1,0,0
1,1,0.0981233243967828,0.1606791778373547,-63.75227686703094,0.3766204911269944,1,1,0,0
2,1,0.1023221016890628,0.1096164359911374,-7.128796400449905,0.6015282512082774,3,1,0,0
3,1,0.1001833350253504,0.0982365200981768,1.9432522651406887,0.637562315661991,0,1,0,0
4,2,0.1962788075269575,0.2556557896962436,-30.25134649910234,0.5096857698347693,2,1,0,0
5,2,0.1946380697050938,0.2647006255585344,-35.99632690541783,0.4868667791219348,1,1,0,0
6,2,0.1979541334561045,0.2188444163093833,-10.553092521258796,0.5879269896107906,3,1,0,0
7,2,0.1980555738027984,0.1877302884988623,5.213327302879571,0.6505510130358593,0,1,0,0
8,3,0.2969671341649634,0.3582587450372354,-20.639189937504977,0.5478651361330912,2,1,0,0
9,3,0.3075960679177837,0.3722966934763181,-21.034282393957003,0.5462958338105665,1,1,0,0
10,3,0.3001899116623025,0.3255690156245504,-8.454349388928824,0.5962631712264173,3,1,0,0
11,3,0.2983165425522385,0.2725958925788131,8.621932177603396,0.6640899491990776,0,1,0,0
12,4,0.3938144572086358,0.475450466323678,-20.729561249142492,0.5475061824073837,2,1,0,0
13,4,0.4023235031277927,0.4881143878462913,-21.32385606397155,0.5451456507952372,1,1,0,0
14,4,0.40061289672834,0.4512560066756826,-12.641407793140585,0.5796322273271532,3,1,0,0
15,4,0.4008229174753513,0.3867234388156677,3.5176328610378644,0.6438157358053828,0,1,0,0
16,5,0.4933634035755397,0.5857001902882515,-18.71577543926481,0.5555049145950028,2,1,0,0
17,5,0.5070598748882931,0.6,-18.32922100810716,0.5570403039872616,1,1,0,0
18,5,0.498690760509884,0.5731735389750525,-14.935664416363755,0.5705194685576652,3,1,0,0
19,5,0.4979546499614817,0.4867276190931187,2.2546291854552347,0.638799100916304,0,1,0,0
20,1,0.1004181643056828,0.0902459651842977,10.129839747338863,0.6700793393094042,2,0,1,0
21,1,0.0986595174262734,0.0891867739052725,9.601449275362318,0.6679805789272926,1,0,1,0
22,1,0.1015020286018473,0.0167323684286248,83.51523742026937,0.9615652260350384,3,0,1,0
