sub,del,ins,hit,wer
9,2,0,24,0.3142857142857143
8,2,0,52,0.16129032258064516
4,6,1,5,0.7333333333333333
15,4,1,57,0.2631578947368421
4,0,1,39,0.11627906976744186
1,1,0,16,0.1111111111111111
21,8,1,85,0.2631578947368421
0,0,0,5,0.0
0,0,0,3,0.0
4,1,0,14,0.2631578947368421
2,0,0,10,0.16666666666666666
2,3,1,7,0.5
1,1,0,10,0.16666666666666666
7,4,1,47,0.20689655172413793
4,1,6,24,0.3793103448275862
0,1,0,2,0.3333333333333333
1,0,2,7,0.375
7,4,1,36,0.2553191489361702
0,2,0,8,0.2
3,2,0,5,0.5
0,1,0,1,0.5
0,0,0,7,0.0
4,0,1,13,0.29411764705882354
3,0,0,8,0.2727272727272727
1,0,0,3,0.25
0,0,0,9,0.0
2,0,0,24,0.07692307692307693
6,1,0,17,0.2916666666666667
4,0,1,8,0.4166666666666667
0,1,0,7,0.125
2,0,0,1,0.6666666666666666
1,0,0,2,0.3333333333333333
0,4,1,5,0.5555555555555556
2,4,0,2,0.75
4,0,5,3,1.2857142857142858
2,7,0,0,1.0
0,1,0,1,0.5
1,2,0,18,0.14285714285714285
4,3,3,25,0.3125
0,0,0,5,0.0
10,5,2,59,0.22972972972972974
15,0,5,50,0.3076923076923077
7,1,1,28,0.25
2,0,0,27,0.06896551724137931
1,0,0,13,0.07142857142857142
0,1,0,17,0.05555555555555555
18,5,12,85,0.32407407407407407
0,0,0,18,0.0
4,2,1,45,0.13725490196078433
1,0,0,3,0.25
1,0,0,2,0.3333333333333333
1,0,0,2,0.3333333333333333
0,0,0,10,0.0
0,0,0,2,0.0
6,0,2,26,0.25
10,7,2,26,0.4418604651162791
1,0,0,8,0.1111111111111111
2,1,0,3,0.5
1,1,0,5,0.2857142857142857
0,2,0,8,0.2
2,0,0,10,0.16666666666666666
1,4,1,6,0.5454545454545454
0,5,0,7,0.4166666666666667
4,3,1,14,0.38095238095238093
1,2,0,14,0.17647058823529413
1,2,0,0,1.0
0,0,0,7,0.0
7,3,0,5,0.6666666666666666
2,1,0,10,0.23076923076923078
5,4,3,21,0.4
1,0,0,4,0.2
3,0,1,7,0.4
1,0,0,6,0.14285714285714285
2,1,0,3,0.5
0,0,1,8,0.125
3,1,0,15,0.21052631578947367
1,0,0,7,0.125
0,0,0,3,0.0
1,0,0,1,0.5
2,0,0,10,0.16666666666666666
4,0,2,6,0.6
2,0,0,10,0.16666666666666666
0,0,0,5,0.0
3,0,0,41,0.06818181818181818
0,0,1,4,0.25
